Place,Total,Lost,Retrieved
Emory Point,18,0,3
Clairmont,1,0,0
Emory Point,28,0,2
Other off-campus apartment/house,4,0,0
Emory Point,20,0,1
Emory Point,28,7,3
Emory Point,12,3,1
Emory Point,8,1,2
Clairmont,6,0,0
Emory Point,40,1,2
Other off-campus apartment/house,12,1,1
Emory Point,40,2,0
Clairmont,10,0,0
Other off-campus apartment/house,25,0,0
Emory Point,5,1,1
Main campus,60,0,0
Other off-campus apartment/house,50,1,2
Other off-campus apartment/house,20,0,0
Emory Point,7,0,0
Other off-campus apartment/house,17,0,0
Emory Point,8,0,0
Emory Point,23,1,0
Emory Point,28,2,3
Main campus,20,0,1
